City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Mitsamiouli,KM,80.8,scattered clouds,-11.3847,43.2844,
7,Georgetown,MY,82.33,few clouds,5.4112,100.3354,
8,Aliaga,PH,85.5,clear sky,15.5167,120.8667,
10,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,
12,Dingle,PH,82.58,overcast clouds,10.9995,122.6711,
26,Kavaratti,IN,85.24,overcast clouds,10.5669,72.642,
33,Bonthe,SL,76.64,moderate rain,7.5264,-12.505,
40,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,
42,Pasni,PK,82.65,clear sky,25.2631,63.471,
46,Victoria,HK,79.18,overcast clouds,22.2855,114.1577,
47,Kattivakkam,IN,84.29,heavy intensity rain,13.2167,80.3167,
58,Kovur,IN,79.77,moderate rain,14.4833,79.9833,
61,Salinopolis,BR,75.24,very heavy rain,-0.6136,-47.3561,
66,Hithadhoo,MV,84.6,broken clouds,-0.6,73.0833,
69,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,
74,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
78,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,
79,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,
83,Pucallpa,PE,87.84,few clouds,-8.3791,-74.5539,
96,Iralaya,HN,80.94,overcast clouds,15.0,-83.2333,
98,Gandorhun,SL,75.34,light rain,7.5,-11.8333,
100,Kyabe,TD,83.48,overcast clouds,9.4515,18.9449,
109,Axim,GH,80.42,overcast clouds,4.8699,-2.2405,
110,Kanniyakumari,IN,81.82,light rain,8.0833,77.5667,
112,Araouane,ML,80.04,clear sky,18.9048,-3.5265,
116,Anloga,GH,82.58,overcast clouds,5.7947,0.8973,
118,Natal,BR,77.22,few clouds,-5.795,-35.2094,
121,Bara,NG,77.9,overcast clouds,10.3744,10.7288,
123,Thinadhoo,MV,84.67,few clouds,0.5333,72.9333,
125,Puerto Ayacucho,VE,77.92,overcast clouds,5.6639,-67.6236,
130,Djibo,BF,86.31,clear sky,14.1022,-1.6306,
132,Umm Lajj,SA,83.12,overcast clouds,25.0213,37.2685,
133,Hingorja,PK,84.85,clear sky,27.2109,68.416,
136,Jucas,BR,75.7,scattered clouds,-6.5253,-39.5275,
137,Chabahar,IR,81.1,clear sky,25.2919,60.643,
138,Bengkulu,ID,78.26,overcast clouds,-3.8004,102.2655,
144,Port Blair,IN,83.17,overcast clouds,11.6667,92.75,
146,Hobyo,SO,82.29,overcast clouds,5.3505,48.5268,
151,Mogadishu,SO,81.07,overcast clouds,2.0371,45.3438,
155,Padang,ID,79.93,overcast clouds,-0.9492,100.3543,
156,Remanso,BR,81.28,broken clouds,-9.6179,-42.0831,
157,Laguna De Perlas,NI,84.29,few clouds,12.3429,-83.6712,
160,Bandarbeyla,SO,81.99,light rain,9.4942,50.8122,
161,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,
162,Angul,IN,79.68,broken clouds,20.85,85.1,
168,Galle,LK,81.79,overcast clouds,6.0367,80.217,
170,Odweyne,SO,76.95,scattered clouds,9.4092,45.064,
180,Muli,MV,84.31,overcast clouds,2.9167,73.5667,
185,Gamba,GA,78.48,overcast clouds,-2.65,10.0,
188,Goure,NE,82.76,clear sky,13.9835,10.2704,
201,Sawakin,SD,84.02,clear sky,19.1059,37.3321,
202,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,
217,Sao Felix Do Xingu,BR,75.9,scattered clouds,-6.6447,-51.995,
222,Adrar,MR,84.7,broken clouds,20.5022,-10.0711,
224,Marawi,PH,76.5,overcast clouds,7.9986,124.2928,
237,Miraflores,MX,84.02,broken clouds,19.2167,-98.8083,
241,Hurghada,EG,82.44,clear sky,27.2574,33.8129,
242,Surat,IN,85.23,overcast clouds,21.1667,72.8333,
247,Conde,BR,76.46,clear sky,-7.2597,-34.9075,
249,Taoudenni,ML,86.0,clear sky,22.6783,-3.9836,
250,Mozarlandia,BR,80.4,broken clouds,-14.7447,-50.5706,
256,Dzilam Gonzalez,MX,86.31,clear sky,21.2833,-88.9333,
262,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,
263,La Ceiba,HN,87.62,few clouds,15.7597,-86.7822,
264,Les Cayes,HT,76.71,clear sky,18.2,-73.75,
265,Rajakhera,IN,86.81,clear sky,26.8961,78.1714,
267,Lachi,PK,83.23,scattered clouds,33.3833,71.3386,
268,Dhadar,IN,85.75,clear sky,28.3305,75.0632,
271,Savannah Bight,HN,82.44,broken clouds,16.45,-85.85,
277,Adre,TD,79.14,few clouds,13.4667,22.2,
278,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,
282,Guanare,VE,80.62,broken clouds,9.0418,-69.7421,
284,Sur,OM,86.61,clear sky,22.5667,59.5289,
285,Damaturu,NG,86.79,overcast clouds,11.747,11.9608,
292,Kilindoni,TZ,80.89,light rain,-7.9139,39.6668,
294,Araguaina,BR,75.31,scattered clouds,-7.1911,-48.2072,
296,Tiznit,MA,77.52,broken clouds,29.5833,-9.5,
299,Dessalines,HT,76.64,clear sky,19.2833,-72.5,
301,Mahibadhoo,MV,84.13,overcast clouds,3.7833,72.9667,
303,Tessalit,ML,79.59,clear sky,20.1986,1.0114,
306,Pajan,EC,75.29,overcast clouds,-1.5667,-80.4167,
310,Dwarka,IN,81.54,broken clouds,22.2394,68.9678,
313,Utmanzai,PK,77.61,scattered clouds,34.188,71.7629,
317,Kankon,IN,82.49,moderate rain,15.0167,74.0167,
318,Chirongui,YT,80.53,scattered clouds,-12.9319,45.1483,
321,Batticaloa,LK,82.15,overcast clouds,7.7102,81.6924,
322,Umred,IN,88.09,overcast clouds,20.85,79.3333,
324,Tucupita,VE,77.22,scattered clouds,9.0622,-62.051,
325,Porto Walter,BR,78.94,overcast clouds,-8.2686,-72.7439,
332,Sarai Alamgir,PK,82.45,clear sky,32.9012,73.7559,
334,Wisconsin Rapids,US,81.39,broken clouds,44.3836,-89.8174,
345,Harper,LR,80.04,broken clouds,4.375,-7.7169,
350,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,
353,Malakwal,PK,83.64,few clouds,32.5536,73.2123,
354,Lloro,CO,75.22,light rain,5.4961,-76.5495,
355,Palani,IN,78.69,moderate rain,10.4667,77.5333,
357,Bilma,NE,89.65,clear sky,18.6853,12.9164,
361,Oranjestad,AW,82.35,few clouds,12.524,-70.027,
366,Bom Jesus Da Lapa,BR,76.64,scattered clouds,-13.255,-43.4181,
367,Fomboni,KM,81.63,scattered clouds,-12.28,43.7425,
372,Dabwali,IN,87.28,clear sky,29.95,74.7333,
