City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed
0,Delta Del Tigre,UY,60.91,light rain,-34.7633,-56.3853,79,100,8.14
1,Ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,75,40,20.71
2,Viedma,AR,52.84,broken clouds,-40.8135,-62.9967,76,74,11.01
3,Mitsamiouli,KM,80.8,scattered clouds,-11.3847,43.2844,77,32,9.75
4,Sal Rei,CV,70.25,scattered clouds,16.1833,-22.9167,84,30,13.31
5,Saldanha,ZA,46.45,overcast clouds,-33.0117,17.9442,82,90,5.14
6,Ahar,IR,47.75,light rain,38.4774,47.0699,88,100,4.18
7,Georgetown,MY,82.33,few clouds,5.4112,100.3354,94,20,2.3
8,Aliaga,PH,85.5,clear sky,15.5167,120.8667,59,1,3.71
9,Coihaique,CL,45.21,broken clouds,-45.5752,-72.0662,76,75,3.44
10,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,1,20,9.22
11,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,94,40,3.44
12,Dingle,PH,82.58,overcast clouds,10.9995,122.6711,75,100,8.63
13,Tucurui,BR,74.35,overcast clouds,-3.7661,-49.6725,95,87,2.95
14,Temir,KZ,52.14,overcast clouds,49.1414,57.13,92,99,15.86
15,Ancud,CL,46.27,broken clouds,-41.8697,-73.8203,84,77,4.83
16,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,78,0,3.44
17,Husavik,IS,37.08,overcast clouds,66.0449,-17.3389,97,100,11.36
18,Chuy,UY,60.24,overcast clouds,-33.6971,-53.4616,94,97,3.94
19,Port Alfred,ZA,61.36,few clouds,-33.5906,26.891,77,11,6.35
20,Manjacaze,MZ,66.15,broken clouds,-24.7117,33.8828,85,60,3.31
21,Codrington,AU,54.57,few clouds,-38.2667,141.9667,67,11,5.86
22,Kruisfontein,ZA,51.89,scattered clouds,-34.0033,24.7314,73,41,4.45
23,East London,ZA,61.93,clear sky,-33.0153,27.9116,68,6,5.64
24,San Joaquin,US,65.1,clear sky,37.9333,-121.3011,31,0,20.71
25,Klaksvik,FO,47.32,light rain,62.2266,-6.589,99,96,11.61
26,Kavaratti,IN,85.24,overcast clouds,10.5669,72.642,73,100,20.96
27,Jardim,BR,72.86,few clouds,-21.4803,-56.1381,53,16,5.06
28,Asopos,GR,58.06,clear sky,36.7333,22.8667,56,3,5.66
29,Tambura,SS,69.22,overcast clouds,5.6,27.4667,92,99,4.52
30,Longyearbyen,SJ,17.44,broken clouds,78.2186,15.6401,67,75,14.97
31,Tasiilaq,GL,33.96,overcast clouds,65.6145,-37.6368,68,97,2.66
32,Hermanus,ZA,56.84,overcast clouds,-34.4187,19.2345,67,88,3.89
33,Bonthe,SL,76.64,moderate rain,7.5264,-12.505,92,66,3.24
34,Yangambi,CD,68.38,overcast clouds,0.8102,24.4336,95,98,1.25
35,Castro,BR,56.73,broken clouds,-24.7911,-50.0119,92,76,5.59
36,Sambava,MG,73.02,few clouds,-14.2667,50.1667,93,23,5.93
37,Arraial Do Cabo,BR,72.36,clear sky,-22.9661,-42.0278,61,3,7.27
38,Gairo,IT,51.01,few clouds,39.8497,9.5047,82,11,4.92
39,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,35,33,5.84
40,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,22,0,4.61
41,Oranjemund,NA,54.28,broken clouds,-28.55,16.4333,87,66,2.95
42,Pasni,PK,82.65,clear sky,25.2631,63.471,71,0,9.24
43,Florianopolis,BR,61.83,clear sky,-27.6146,-48.5012,88,0,3.44
44,Geraldton,AU,59.41,overcast clouds,-28.7667,114.6,94,100,6.91
45,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,73,8,5.41
46,Victoria,HK,79.18,overcast clouds,22.2855,114.1577,90,100,10.0
47,Kattivakkam,IN,84.29,heavy intensity rain,13.2167,80.3167,92,100,2.51
48,Mehamn,NO,31.86,light snow,71.0357,27.8492,91,87,1.95
49,Ribeira Grande,PT,64.15,broken clouds,38.5167,-28.7,79,66,3.71
50,Mar Del Plata,AR,54.95,broken clouds,-38.0023,-57.5575,80,75,10.0
51,Busselton,AU,57.45,few clouds,-33.65,115.3333,86,13,3.04
52,Beyneu,KZ,54.79,light rain,45.3167,55.2,88,81,20.94
53,Vestmanna,FO,45.52,moderate rain,62.1564,-7.1664,100,100,12.66
54,Novaya Mayna,RU,51.67,light rain,54.15,49.75,62,100,3.76
55,Ghanzi,BW,54.32,clear sky,-21.5667,21.7833,23,0,4.97
56,Sao Joao Batista,BR,69.62,broken clouds,-27.2761,-48.8494,97,54,1.77
57,Marienburg,PL,46.89,scattered clouds,54.0359,19.0266,70,33,5.82
58,Kovur,IN,79.77,moderate rain,14.4833,79.9833,75,100,10.78
59,Cidreira,BR,67.57,clear sky,-30.1811,-50.2056,82,0,15.05
60,Sistranda,NO,49.96,light rain,63.7256,8.834,80,100,5.68
61,Salinopolis,BR,75.24,very heavy rain,-0.6136,-47.3561,94,100,1.7
62,Cape Town,ZA,54.12,clear sky,-33.9258,18.4232,93,0,3.44
63,Namibe,AO,73.76,clear sky,-15.1961,12.1522,55,0,7.07
64,Havre-Saint-Pierre,CA,46.76,clear sky,50.2334,-63.5986,39,0,8.05
65,Mikhaylovka,RU,39.78,scattered clouds,50.06,43.2379,85,41,16.22
66,Hithadhoo,MV,84.6,broken clouds,-0.6,73.0833,77,72,20.49
67,Vardo,NO,35.58,drizzle,70.3705,31.1107,93,100,11.5
68,Sao Filipe,CV,71.64,few clouds,14.8961,-24.4956,83,23,7.85
69,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,98,90,3.31
70,Villablino,ES,63.5,overcast clouds,42.9393,-6.3194,69,96,1.01
71,Tikhvin,RU,31.12,clear sky,59.6451,33.5294,85,0,2.64
72,Neuquen,AR,49.89,clear sky,-38.9516,-68.0591,62,0,3.44
73,Itum-Kale,RU,39.7,broken clouds,42.7356,45.5758,85,56,5.97
74,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,78,20,12.66
75,Melilla,ES,66.58,clear sky,35.2937,-2.9383,72,0,2.3
76,Wicklow,IE,47.46,overcast clouds,53.0,-6.4167,87,100,8.01
77,Karasjok,NO,35.67,overcast clouds,69.4719,25.5112,99,100,5.39
78,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,83,40,5.75
79,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,83,20,26.46
80,Chadiza,ZM,61.74,clear sky,-14.0678,32.4392,79,2,1.86
81,Jamestown,US,73.04,clear sky,42.097,-79.2353,16,0,3.44
82,Mlimba,TZ,69.53,clear sky,-8.8,35.8167,86,6,3.09
83,Pucallpa,PE,87.84,few clouds,-8.3791,-74.5539,55,20,3.44
84,Ploemeur,FR,60.82,mist,47.7333,-3.4333,87,100,4.61
85,Urut,AM,38.23,overcast clouds,41.0714,44.3964,89,93,2.13
86,Gorshechnoye,RU,37.38,clear sky,51.5244,38.0365,71,4,12.28
87,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,88,96,21.85
88,Caravelas,BR,73.04,few clouds,-17.7125,-39.2481,78,22,11.12
89,Qaanaaq,GL,16.14,scattered clouds,77.484,-69.3632,69,25,4.99
90,Lagoa,PT,62.15,broken clouds,39.05,-27.9833,86,69,1.86
91,Lesnikovo,RU,50.92,broken clouds,55.2822,65.3175,47,73,11.83
92,Chipinge,ZW,57.24,clear sky,-20.1883,32.6236,89,2,1.32
93,Marystown,CA,43.86,scattered clouds,47.1666,-55.1483,100,37,4.81
94,Gijon,ES,66.25,overcast clouds,43.5357,-5.6615,92,99,3.0
95,San Rafael,AR,60.76,few clouds,-34.6177,-68.3301,52,22,3.31
96,Iralaya,HN,80.94,overcast clouds,15.0,-83.2333,77,96,9.33
97,Humberto De Campos,BR,73.36,moderate rain,-2.5983,-43.4611,97,100,2.95
98,Gandorhun,SL,75.34,light rain,7.5,-11.8333,95,94,3.29
99,Hegra,NO,48.11,clear sky,63.4644,11.114,66,0,3.44
100,Kyabe,TD,83.48,overcast clouds,9.4515,18.9449,53,85,4.63
101,Raudeberg,NO,47.07,light rain,61.9875,5.1352,66,100,30.02
102,Altay,CN,48.7,clear sky,47.8667,88.1167,26,3,4.83
103,Fershampenuaz,RU,51.75,overcast clouds,53.5202,59.8117,37,96,17.27
104,Sibenik,HR,62.26,scattered clouds,43.7272,15.9058,71,48,4.83
105,Midland,US,101.07,clear sky,31.9974,-102.0779,4,0,19.57
106,Bredasdorp,ZA,52.7,broken clouds,-34.5322,20.0403,82,81,4.68
107,Sucre,BO,56.1,scattered clouds,-19.0333,-65.2627,69,34,6.17
108,Kadoshkino,RU,36.43,overcast clouds,54.0257,44.4191,93,100,15.82
109,Axim,GH,80.42,overcast clouds,4.8699,-2.2405,83,90,5.93
110,Kanniyakumari,IN,81.82,light rain,8.0833,77.5667,82,100,26.02
111,Punta Arenas,CL,42.91,few clouds,-53.15,-70.9167,75,20,2.3
112,Araouane,ML,80.04,clear sky,18.9048,-3.5265,6,1,11.39
113,Gat,IL,70.39,clear sky,31.61,34.7642,76,0,5.55
114,Middelburg,ZA,50.7,clear sky,-25.7751,29.4648,52,0,4.56
115,Dikson,RU,12.2,scattered clouds,73.5069,80.5464,90,33,14.18
116,Anloga,GH,82.58,overcast clouds,5.7947,0.8973,80,87,12.59
117,Bolobo,CD,72.14,broken clouds,-2.1667,16.2333,96,65,1.97
118,Natal,BR,77.22,few clouds,-5.795,-35.2094,88,20,6.91
119,Maltahohe,NA,54.43,clear sky,-24.8333,16.9833,30,0,1.41
120,Jimma,ET,59.5,broken clouds,7.6667,36.8333,92,58,2.57
121,Bara,NG,77.9,overcast clouds,10.3744,10.7288,71,86,12.55
122,Norrtalje,SE,47.01,broken clouds,59.758,18.705,71,83,6.17
123,Thinadhoo,MV,84.67,few clouds,0.5333,72.9333,77,24,20.76
124,Impfondo,CG,72.7,overcast clouds,1.6381,18.0667,90,92,2.39
125,Puerto Ayacucho,VE,77.92,overcast clouds,5.6639,-67.6236,86,99,2.68
126,Port Elizabeth,ZA,55.31,clear sky,-33.918,25.5701,99,0,3.44
127,Aleksandriyskaya,RU,47.03,broken clouds,44.2272,43.3453,71,56,10.02
128,Aranda De Duero,ES,55.2,broken clouds,41.6704,-3.6892,57,65,7.05
129,Cascais,PT,63.05,overcast clouds,38.6979,-9.4215,65,91,15.01
130,Djibo,BF,86.31,clear sky,14.1022,-1.6306,6,9,9.4
131,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,94,40,3.44
132,Umm Lajj,SA,83.12,overcast clouds,25.0213,37.2685,41,98,9.84
133,Hingorja,PK,84.85,clear sky,27.2109,68.416,54,0,7.9
134,Narsaq,GL,46.62,few clouds,60.9167,-46.05,84,24,2.82
135,Stephenville Crossing,CA,46.53,few clouds,48.5,-58.4318,42,20,5.75
136,Jucas,BR,75.7,scattered clouds,-6.5253,-39.5275,57,32,3.67
