City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-05-06 02:00:30,-20.3428,57.7575,75.45,88,40,18.41
1,Iqaluit,CA,2022-05-06 01:59:07,63.7506,-68.5145,13.73,79,20,13.8
2,Jamestown,US,2022-05-06 01:59:08,42.097,-79.2353,54.52,69,100,5.55
3,Tsivilsk,RU,2022-05-06 02:01:14,55.8611,47.4664,31.21,60,2,5.53
4,Port Alfred,ZA,2022-05-06 01:58:51,-33.5906,26.891,68.79,51,0,10.16
5,Ponta Do Sol,PT,2022-05-06 02:01:17,32.6667,-17.1,63.72,72,100,3.29
6,Taltal,CL,2022-05-06 02:01:18,-25.4,-70.4833,62.58,81,100,2.42
7,Requena,ES,2022-05-06 02:01:21,39.4883,-1.1004,46.53,70,3,5.48
8,Ushuaia,AR,2022-05-06 02:01:23,-54.8,-68.3,37.81,98,82,11.36
9,Honningsvag,NO,2022-05-06 02:01:24,70.9821,25.9704,37.15,81,100,17.27
10,Ribeira Grande,PT,2022-05-06 02:01:26,38.5167,-28.7,63.39,86,100,27.67
11,Sambava,MG,2022-05-06 02:01:28,-14.2667,50.1667,72.66,85,10,8.37
12,San Andres,CO,2022-05-06 02:01:31,12.5847,-81.7006,81.0,85,100,14.88
13,Cape Town,ZA,2022-05-06 01:59:08,-33.9258,18.4232,59.11,93,68,5.75
14,Namibe,AO,2022-05-06 02:01:34,-15.1961,12.1522,77.92,50,0,0.98
15,Lima,PE,2022-05-06 02:00:20,-12.0432,-77.0282,68.9,75,89,7.4
16,Akureyri,IS,2022-05-06 02:01:37,65.6835,-18.0878,32.68,95,100,10.83
17,Mizan Teferi,ET,2022-05-06 02:01:38,6.9833,35.5833,59.97,96,40,3.22
18,Fasa,IR,2022-05-06 02:01:40,28.9383,53.6482,67.69,25,0,1.59
19,Punta Arenas,CL,2022-05-06 02:01:42,-53.15,-70.9167,41.11,75,46,23.51
20,Pimentel,PE,2022-05-06 02:01:43,-6.8367,-79.9342,65.57,87,100,11.36
21,Ostrovnoy,RU,2022-05-06 02:01:45,68.0531,39.5131,24.87,91,64,19.64
22,Meridian,US,2022-05-06 02:01:34,43.6121,-116.3915,65.16,57,75,5.75
23,Victoria,HK,2022-05-06 02:00:03,22.2855,114.1577,82.96,75,8,11.01
24,Mar Del Plata,AR,2022-05-06 01:57:06,-38.0023,-57.5575,58.95,76,0,11.5
25,Shahpura,IN,2022-05-06 02:01:51,27.3833,75.9667,87.21,29,1,2.3
26,Hofn,IS,2022-05-06 02:01:56,64.2539,-15.2082,40.23,51,0,16.31
27,Torbay,CA,2022-05-06 01:57:48,47.6666,-52.7314,41.76,96,100,11.5
